24,ResponseId,Q79,Q32,,Q22,Q22_23_TEXT,*********,Q29,Q29_12_TEXT,Q55,Q50,Q50_4_TEXT,Q56#1_1,Q56#1_2,Q56#1_3,Q56#1_4,Q56#1_5,Q56#1_6,Q56#1_7,Q56#1_8,Q56#1_9,Q56#1_10,Q56#1_11,Q61,Q57#1_1,Q57#1_2,Q57#1_3,Q57#1_4,Q57#1_5,Q57#1_6,Q57#1_7,Q57#1_8,Q57#1_9,Q57#1_10,Q57#1_10_TEXT,Q62,Q67,Q67_5_TEXT,Q68,Q69,Q70,Q46,Q47,Q48,Q58,Q59,Q60,CODING,RESEARCHER,Q71,Q70,Q71,Q74,Q75,Q49,Q44,Q51,Q52,Q52_11_TEXT,Q78,Q27
5/9/2020 16:04:00,R_1mI3Vr79fzGjHDN,removed for now,removed for now,,Engineering,,Student,Graduate student (second-year or above),,Ph. D.,None of these,,0,0,0,0,1,1,0,"1,2",1,0,0,,0,1,0,0,"1,2",2,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neutral feelings,Ali,,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,Asian,,,Submit
5/13/2020 20:26:25,R_1MRMaT3rb3fDm15,removed for now,removed for now,,Engineering,,Student,Undergraduate,,,Attended community college,,0,2,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,"Email updates are great, but knowing whether we will still be having online classes in fall would be nice to know as soon as possible.","It's very nice to get updates, I like to continue to get them. It seems to me like the university is working to serve the students, which is very encouraging. ","I was able to relax a bit more, knowing that my friends--who have more financial struggles than I do-- were being taken care of.","Well, we still don't know what is happening this fall, and that would be helpful to know, since I have to figure out housing.","I am frustrated that I don't know, but that is because I like to plan. I know the university will let me know at the right time.","It is a lack of information, so I cannot do anything. The ""three options"" for opening seem kind of like two, but thats just my own thought, there is nothing I can do about that.","I have not had any, but I know there are options to meet with people.",I haven't had any.,I haven't had any.,Neutral feelings,Ali,,CHANGED,"I was going to get an internship this summer, but not anymore.",Somewhat,"I am continuing research this summer, as a ""job""",Woman,No,Decline to state,White,,,Submit
5/19/2020 7:04:29,R_1msfBolOLS6bFii,removed for now,removed for now,,STEM Education and Learning ,,Professional,Faculty,,N/a,Other,,0,0,0,0,0,0,0,2,0,0,2,,2,0,0,0,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,Email updates on campus regulations and precautionary steps,I feel somewhat better but do not think that communication has been as transparent as it could be.  I have not felt as included in the decision-making (in terms of wanting my input).,I'm not sure. ,None. ,N/A,N/A,I have had no personal communication about COVID-19.,N/A,N/A,Neutral feelings,Ali,"The university has let us know they've out together task forces to figure out how to proceed in the fall. I would like to know what they decide and what we can expect, in terms of campus opening in the fall.",NO CHANGE,,Somewhat,It is still very uncertain what PD will look like in the fall and what supports districts will want. I lead professional development for teachers around the state and those workshops were either changed or cancelled as a result of school districts closing. ,Woman,No,Heterosexual or straight,"Asian,White",,N/A,Submit
5/25/2020 12:11:59,R_1mygsunp6cLcFXA,removed for now,removed for now,,"Chemistry,Geosciences",Marine Science (Chemical Oceanography),Student,Graduate student (second-year or above),,M.Sc.,None of these,,0,0,0,0,2,2,0,0,2,0,0,,2,3,2,2,"2,3",0,0,2,2,"New issue due to COVID-19,Cannot access resources",Cannot access lab due to COVID,,"Yes, explicitly mentioning COVID-19",,Email detailing a 3 phase plan.,"It was nice to get actual dates but I still feel the wording was very vague, and the timing seems rushed.",I will be waiting to see how things go after the first phase of reopening. ,"General COVID-19 update emails, they all say the same thing but don't give any information or timelines. ",They are useless and just an attempt to make it seem like the administration is actually worrying about students and not just about collecting tuition  in the fall. ,Nothing. ,My advisor and I have had phone calls. ,"It's been useful, but at the same time I've realized even though she's faculty, she hasn't been given any more information or guidance than me. ","Made the decision to wait a bit, and to focus on writing. ",Neutral feelings,Ali,"I'm waiting to see if there is a spike in cases after it increases. I would like to have the university clearly state that if things get worse after re-opening, they will close again.",CHANGED,"My funding may run out, and so I am rushing to finish my projects.",It has changed my plans,"I am in a pinch to finish my project because if I get delayed I will run out of funding. I was supposed to run analyses in lab from Spring to Summer (maybe into Fall) but now I am having to focus on writing and coding, without any data.",Woman,No,Bisexual,White,,,Submit
3/30/2021 22:30:40,R_1NqUkmxpk13eZ9H,removed for now,removed for now,,Engineering,,Student,Undergraduate,,M.S. Biomedical Engineering,None of these,,0,2,"1,2","1,2,3",2,"1,2",0,1,2,0,0,,2,"1,2",1,0,2,2,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,email,informed. institution has been updating us at regular intervals,try and get registered for a vaccination,printed,"ignored. I'm not on school most times, and I avoid areas of high traffic where printed materials can be seen",N/A,communication with professors in in-person classes,apathetic,N/A,Neutral feelings,Ali,confirmation of whether or not classes will be in-person next semester,CHANGED,Increased the time that I'll spend at this institution before graduating,,,Man,No,Heterosexual or straight,Black or African American,,,Submit
4/23/2021 14:33:54,R_1NqvfxKGHh4gn3Z,removed for now,removed for now,,Life Sciences,,Professional,Employee (including Postdoctoral Scholars),Postdoctoral researcher,,None of these,,0,2,2,2,2,2,2,2,2,0,0,Another issue were immigration limitations with family living abroad,2,0,0,0,2,2,0,0,0,,,Finding a faculty has been exponentially harder during the pandemic,"Yes, explicitly mentioning COVID-19",,"ASU was very thoughtful in provided resources to employees and on-campus student residents. Although there was some backlash over the University not refunding fees related to campus service, we did not go through furloughs or laying off employees. Students were mostly remote and there was also priority to vaccinate the faculty and student workers right when vaccines were available. All this information was readily available through email communications from the University and specific School administrators. ",Very taken care of and informed.,Followed the University guidelines.,"In the beginning it was hard to know who could be in the University grounds/facilities; and currently have been facing a backlog and high amount of paperwork to do field work, even if it is close by (domestic). More information on documentation and permission of specialized personnel could have been clearer.",I understand they are overwhelmed. I worked along with it and things worked out.,"Deadlines were pushed back, and some dry lab work had to be done at my home or even inside my car (for field work).",Mostly business office and risk management office.,They always answered and assisted me when needed.,Follow through with the insturctions.,Neutral feelings,Ali,There are still some uncertainties on some paper work.,CHANGED,"As a postdoctoral researcher, I am actively seeking faculty positions to apply and this was an exceptionally hard year for faculty search success.",Somewhat,,Woman,No,Heterosexual or straight,"Hispanic or Latinx,White",,,Submit
5/14/2020 7:50:16,R_1NyotWAB9umdYw7,removed for now,removed for now,,Life Sciences,,Professional,Faculty,,,None of these,,0,0,2,2,2,0,0,0,0,0,0,,2,0,0,0,0,0,2,2,2,,,,"Yes, explicitly mentioning COVID-19",,regular email updates to the entire campus,"informed but uncertain about the future; there are a lot of important decisions that can't be made yet, so that delays what I need to do to prepare",I'm able to start making plans and alternatives to try to get ahead for fall classes,less-specific communication to the campus community (e.g. alumni),"I understand the need of this communication (feel-good, PR), but it doesn't help with what I need to know","Nothing, just deleted the email after skimming; not information that I really care about","virtual meetings with other faculty, the provost and the president","uncertain; some questions were answered, some were not (because they just can't be answered right now)",grateful for the update and continuing communication; started planning for different options for the fall,Neutral feelings,Ali,decision on whether we will open as usual or go all online or another strategy,NO CHANGE,,It has changed my plans,"having to develop new pedagogical strategies if we continue online and balancing that work load (I don't want to revise everything if we're f2f, but need time to convert to online if we're going that route)",Woman,No,Heterosexual or straight,White,,,Submit
7/15/2021 11:32:00,R_1oA4hvIq8SSNMqE,removed for now,removed for now,,Psychology,,Student,Undergraduate,,clinical psychology phd,None of these,,0,0,0,0,0,0,0,2,0,0,0,,2,0,0,0,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,they gave us clear instructions about reopening,it was nice to know what was expected,followed guidelines,non answers receiving emails that don't say any information but just say that they are working on the situation and its hard,frustrated,nothing,N/A,N/A,N/A,Neutral feelings,Ali,"a more in the future timeline of guidlines
",NO CHANGE,,Not at all,,Woman,No,Heterosexual or straight,White,,i took hard stem classes with less teacher and student support and it was very taxing on my mental and physical health,Submit
4/9/2020 15:57:50,R_1OE2Zucpn2G0yAt,removed for now,removed for now,,STEM Education and Learning ,,Student,Graduate student (second-year or above),,Ph.D.,None of these,,0,0,0,0,0,0,0,2,0,2,2,,2,0,0,2,0,0,0,0,0,,,"My work days are much shorter, given that I am home-schooling my two elementary-aged kids. Learning environment is not as quiet and secluded as it used to be. My progress with my program has slowed down.","Yes, explicitly mentioning COVID-19",,Information regarding extensions and policy changes due to COVID.,"I felt a little bit of relief, but still anxious about not being able to be as productive as I had initially planned during this spring semester.",nothing really.,N/A,N/A,N/A,"none really, just updates on personal lives with colleagues.",It was good to connect with other people in similar situations,I don't know.,Neutral feelings,Ali,N/A,CHANGED,"I was originally going to take my qualifying exam in May, but now it probably won't happen until the fall.",Not at all,,Woman,No,Heterosexual or straight,White,,N/A,Submit
3/18/2021 15:00:43,R_1oFPUnAUwlWqydQ,removed for now,removed for now,,Mathematical Sciences,,Student,Graduate student (second-year or above),,Ph.D.,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,2,2,2,0,2,2,1,2,1,0,0,,2,2,0,0,2,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neutral feelings,Ali,N/A,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,Asian,,,Submit
6/27/2021 12:58:33,R_1OisiRB4B2Kk6PK,removed for now,removed for now,,Computer and Information Science and Engineering,,Student,Graduate student (second-year or above),,,None of these,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,"Vaccination, Testing Protocol via email.",The information was helpful.,The information helped me get tested and vaccinated.,None,N/A,N/A,None,N/A,N/A,Neutral feelings,Ali,None,NO CHANGE,,Not at all,,Man,No,Heterosexual or straight,Asian,,,Submit
6/15/2021 12:22:53,R_1OlD5pE5QEk51rK,removed for now,removed for now,,Chemistry,,Student,First-year graduate student,,Ph.D.,None of these,,2,1,0,0,1,2,"1,2",2,2,0,0,,2,0,0,0,2,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,In person presentation and email,Sometimes emails were too long and most important part was lost in the text.,Follow the guidlines. ,Some signs and emails.,"Some signs and restrictions are still in place, but at the state level, they are lifted. Hard to follow can you do it now or not.",Follow the guidlines. ,Research adviser and TA coordinator.,Good. Short and constructive.,Follow the guidlines. ,Neutral feelings,Ali,"Traveling regulation for specific countries. When is the next meeting (government, county, etc.) to discuss the restriction changes? Too slow work on the approach for dealing with the pandemic at the international level.",NO CHANGE,I was lucky and my plans were not affected as much.,Somewhat,Most of the scientific conferences were postponed or canceled.,Woman,No,Decline to state,White,,,Submit
8/14/2021 7:27:10,R_1oz3BPr9niLZ5sp,removed for now,removed for now,,Life Sciences,,Professional,Employee (including Postdoctoral Scholars),,,First generation to college (no parent/guardian in the household is a college graduate),,0,2,2,2,0,2,0,2,2,0,0,"NIH stop funding our lab, which is not a COVID research lab, because of massive funding of COVID related projects, so I'll be jobless by the end of 2021",0,0,0,0,"1,2,3","1,2,3",2,0,2,,,,"Yes, explicitly mentioning COVID-19",,Vaccination mandate and regular testing,I'm OK with the mandatory vaccination,I've got my jab,N/A,N/A,N/A,"A lot, with colleagues. Lot of drama during lockdown because we had shifts and people were not always very respectful of them. Also, there was some bullying against people that showed few symptoms and appear to work.",Annoyed,"Talk to everyone and trying to calm down the nerves, and move people's minds out of paranoia.",Neutral feelings,Ali,N/A,CHANGED,"I started the Green Card application to be able to work in industry, not only academia.",It has changed my plans,"NIH stopped funding research in antibiotic resistance, so my PI is dismissing 4 postdocs by the end of the year",Man,No,Gay,Hispanic or Latinx,,N/A,Submit
4/19/2021 10:23:32,R_1OZT6Uxt4E2KPMa,removed for now,removed for now,,"Life Sciences, Health sciences",Veterinary Medicine,Professional,Faculty,,,Attended community college,,0,0,3,0,0,0,0,0,2,0,0,Health care was restricted during Covid. My sister-in-law died because she could not get in to her regular health care provider to work up her issue with her urinary system. All she could do was access the emergency room and get home with antibiotics. She had a tumor on her kidney that started pressing on her aorta. By the time she was able to get proper care it was too late. It is crazy to close medical offices due to Covid. ,0,0,0,0,0,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,"Info on numbers of cases in the county, recovered, and deaths.",Good. It was good information and much different that what the news media puts out. ,I have less confidence in news sources. ,I did not read much of the plans for reopening. Only what involved  my department. ,Neutral. It was just information. ,I answered questions about reopening. Because students wanted to know if we were going to be face-to-face or not.,I have answered students questions. ,I felt that students were expecting me to provide accurate information. They were getting conflicting information. ,I guided students to appropriate sources of information. So that they could be informed.,Neutral feelings,Ali,None,NO CHANGE,,Somewhat,Funding issues,Decline to state,Decline to state,Decline to state,Decline to state,,I have been amazed at the amount of disinformation provided in the news. It has changed how I process information. I am now much more likely to look at the source myself. ,Submit
5/11/2020 22:28:06,R_1P0l4EwSgijvTmY,removed for now,removed for now,,Life Sciences,,Student,Undergraduate,,MD,None of these,,0,0,0,0,0,1,0,2,0,0,0,,2,0,0,0,"2,3","2,3",0,0,0,,,,"Yes, explicitly mentioning COVID-19",,Email,Could’ve gotten more sympathy ,Nothing,N/a,N/a,N/a,N/a,N/a,N/a,Neutral feelings,Ali,N/a,CHANGED,Cancellation of valuable professional experience,,,Woman,No,Heterosexual or straight,Asian,,,Submit
8/2/2021 10:31:54,R_1P5UlFbJznVis7F,removed for now,removed for now,,"Mathematical Sciences,Physics and Astronomy",,Student,Undergraduate,,,None of these,,0,0,0,0,0,1,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,Details about their plans/policies helped me plan ahead a little bit,"Indifferent, it's wasn't really a big deal","Not much, it wasn't a big deal",When they backed out of their plans last minute once.,"A little annoyed, it wasn't a big deal","Nothing, it wasn't a big deal",None,N/A,N/A,Neutral feelings,Ali,,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,Asian,,,Submit
7/17/2021 8:53:14,R_1pWLnXiVD0YEuPc,removed for now,removed for now,,Life Sciences,,Student,Graduate student (second-year or above),,PhD,None of these,,0,0,0,0,0,0,0,2,0,0,0,Not being able to travel or afraid to travel during the pandemic did not allow me to visit my family that live in another country ,2,0,0,0,0,0,0,0,0,,,"Learning and teaching remotely has been challenging, it is difficult to engage and stay motivated  ","Yes, explicitly mentioning COVID-19",,Plans for what will happen on campus,It was good to know what to expect but wish they kept us more informed about the state of COVID-19 in the state ,N/A,N/A,N/A,N/A,Spoke with my advisor and asked questions ,I felt more informed ,N/A,Neutral feelings,Ali,From the institution I wish they kept us updated on the state of COVID-19 in North Carolina or at least for the town and surrounding towns ,NO CHANGE,,Somewhat,"I had a trip planned for research that had to be cancelled. Also, could not engage in virtual conferences. ",Woman,No,Heterosexual or straight,Hispanic or Latinx,,,Submit
